code;Name;type;parent;country
EC-A1;Camilo Ponce Enriquez;city;ec-a;ec
EC-A2;Chordeleg ;city;ec-a;ec
EC-A3;Cuenca;city;ec-a;ec
EC-A4;El Pan;city;ec-a;ec
EC-A5;Giron;city;ec-a;ec
EC-A6;Guachapala;city;ec-a;ec
EC-A7;Gualaceo;city;ec-a;ec
EC-A8;Nabon;city;ec-a;ec
EC-A9;Oña;city;ec-a;ec
EC-A10;Paute;city;ec-a;ec
EC-A11;Pucara ;city;ec-a;ec
EC-A12;San Fernando;city;ec-a;ec
EC-A13;Santa Isabel;city;ec-a;ec
EC-A14;Sevilla De Oro;city;ec-a;ec
EC-A15;Sigsig;city;ec-a;ec
EC-B1;Caluma;city;ec-b;ec
EC-B2;Chillanes;city;ec-b;ec
EC-B3;Chimbo;city;ec-b;ec
EC-B4;Echeandia;city;ec-b;ec
EC-B5;Guaranda;city;ec-b;ec
EC-B6;Las Naves;city;ec-b;ec
EC-B7;San Miguel;city;ec-b;ec
EC-C1;Bolivar ;city;ec-c;ec
EC-C2;Espejo;city;ec-c;ec
EC-C3;Mira;city;ec-c;ec
EC-C4;Montufar;city;ec-c;ec
EC-C5;San Pedro De Huaca;city;ec-c;ec
EC-C6;Tulcan;city;ec-c;ec
EC-F1;Azogues;city;ec-f;ec
EC-F2;Biblian;city;ec-f;ec
EC-F3;Cañar ;city;ec-f;ec
EC-F4;Deleg;city;ec-f;ec
EC-F5;El Tambo;city;ec-f;ec
EC-F6;La Troncal;city;ec-f;ec
EC-F7;Suscal;city;ec-f;ec
EC-H1;Alausi;city;ec-h;ec
EC-H2;Chambo;city;ec-h;ec
EC-H3;Chunchi;city;ec-h;ec
EC-H4;Colta;city;ec-h;ec
EC-H5;Cumanda;city;ec-h;ec
EC-H6;Guamote;city;ec-h;ec
EC-H7;Guano;city;ec-h;ec
EC-H8;Pallatanga;city;ec-h;ec
EC-X1;La Mana;city;ec-x;ec
EC-X2;Latacunga;city;ec-x;ec
EC-X3;Pangua;city;ec-x;ec
EC-X4;Pujili;city;ec-x;ec
EC-X5;Salcedo;city;ec-x;ec
EC-X6;Saquicili;city;ec-x;ec
EC-X7;Sigchos;city;ec-x;ec
EC-O1;Arenillas;city;ec-o;ec
EC-O2;Atahualpa;city;ec-o;ec
EC-O3;Balsas;city;ec-o;ec
EC-O4;Chilla;city;ec-o;ec
EC-O5;El Guabo;city;ec-o;ec
EC-O6;Huaquillas;city;ec-o;ec
EC-O7;Las Lajas;city;ec-o;ec
EC-O8;Machala;city;ec-o;ec
EC-O9;Marcabeli;city;ec-o;ec
EC-O10;Pasaje;city;ec-o;ec
EC-O11;Piñas;city;ec-o;ec
EC-O12;Portovelo;city;ec-o;ec
EC-O13;Santa Rosa;city;ec-o;ec
EC-O14;Zaruma;city;ec-o;ec
EC-E1;Atacames;city;ec-e;ec
EC-E2;Eloy Alfaro;city;ec-e;ec
EC-E3;Esmeraldas;city;ec-e;ec
EC-E4;La Concordia;city;ec-e;ec
EC-E5;Muisne;city;ec-e;ec
EC-E6;Quininde;city;ec-e;ec
EC-E7;Rioverde;city;ec-e;ec
EC-E8;San Lorenzo;city;ec-e;ec
EC-W1;Isabela;city;ec-w;ec
EC-W2;San Cristobal;city;ec-w;ec
EC-W3;Santa Cruz;city;ec-w;ec
EC-G4;Alfredo Baquerizo Moreno (JUJAN);city;ec-g;ec
EC-G5;Balao;city;ec-g;ec
EC-G6;Balzar ;city;ec-g;ec
EC-G7;Colimes;city;ec-g;ec
EC-G8;Crnel. Marcelino Maridueña;city;ec-g;ec
EC-G9;Daule ;city;ec-g;ec
EC-G10;Duran;city;ec-g;ec
EC-G11;El Empalme;city;ec-g;ec
EC-G12;El Triunfo;city;ec-g;ec
EC-G13;Crnel. Antonio Elizalde;city;ec-g;ec
EC-G14;Guayaquil;city;ec-g;ec
EC-G15;Isidro Ayora;city;ec-g;ec
EC-G16;Lomas De Sartentillo;city;ec-g;ec
EC-G17;Milagro;city;ec-g;ec
EC-G18;Naranjal ;city;ec-g;ec
EC-G19;Naranjito;city;ec-g;ec
EC-G20;Nobol;city;ec-g;ec
EC-G21;Palestina;city;ec-g;ec
EC-G22;Pedro Carbo;city;ec-g;ec
EC-G23;Playas ;city;ec-g;ec
EC-G24;Salinas ( Salinas Cab. Cantonal);city;ec-g;ec
EC-G25;Salitre;city;ec-g;ec
EC-G26;Samborondon;city;ec-g;ec
EC-G27;San Jacinto De Yaguachi;city;ec-g;ec
EC-G28;Santa Lucia;city;ec-g;ec
EC-G29;Simon Bolivar;city;ec-g;ec
EC-I1;Antonio Ante;city;ec-i;ec
EC-I2;Cotacachi;city;ec-i;ec
EC-I3;Ibarra;city;ec-i;ec
EC-I4;Otavalo;city;ec-i;ec
EC-I5;Pimampiro;city;ec-i;ec
EC-I6;San Miguel De Urcuqui;city;ec-i;ec
EC-L1;Calvas ;city;ec-l;ec
EC-L2;Catamayo;city;ec-l;ec
EC-L3;Celica;city;ec-l;ec
EC-L4;Chaguarpamba;city;ec-l;ec
EC-L5;Espindola;city;ec-l;ec
EC-L6;Gonzanama;city;ec-l;ec
EC-L7;Loja;city;ec-l;ec
EC-L8;Macara;city;ec-l;ec
EC-L9;Olmedo;city;ec-l;ec
EC-L10;Paltas;city;ec-l;ec
EC-L11;Pindal;city;ec-l;ec
EC-L12;Puyango;city;ec-l;ec
EC-L13;Quilanga;city;ec-l;ec
EC-L14;Saraguro;city;ec-l;ec
EC-L15;Sozoranga;city;ec-l;ec
EC-L16;Zapotillo;city;ec-l;ec
EC-R1;Baba;city;ec-r;ec
EC-R2;Babahoyo;city;ec-r;ec
EC-R3;Buena Fe;city;ec-r;ec
EC-R4;Mocache;city;ec-r;ec
